coucode,casecode,indcode,ecorisk,dCi
3,24,8,0.000194147017400503,-0
3,24,9,0.000270369003859905,-0
3,24,10,0.000113526036516709,-0
3,24,11,0.000334318820072732,-0
3,24,12,0.000825448426251651,-0
3,24,13,0.000825645822673415,-0
3,24,14,0.0003108052385844,-0
3,24,15,0.00181432513263879,-0
3,24,16,8.39099579551528e-05,-0
3,24,17,9.52297172778227e-05,-0
3,24,18,8.97353000776091e-05,-0
3,24,19,0.000119873204504128,-0
3,24,20,9.16941571742491e-05,-0
3,24,21,0.000305804055368064,-0
3,24,22,0.000368547703033406,-0
3,24,23,0.000580915398323611,-0
3,24,24,0.167361969117696,0.847243975672859
3,24,25,0.00143151618643722,-0
3,24,26,0.000151043378258997,-0
3,24,27,0.000206525736124674,-0
3,24,28,5.60189206534334e-05,-0
3,24,29,0.00033388219028474,-0
3,24,30,8.07941796643341e-06,-0
3,24,31,2.60637819892162e-05,-0
3,24,32,1.43036953847986e-06,-0
3,24,33,6.39699197506616e-05,-0
3,24,34,6.75743810352181e-07,-0
3,33,1,0.0149415044609709,-0
3,33,2,0.0167374650318934,NaN
3,33,3,0.0240512910439939,-0
3,33,4,0.00851073781224476,-0
3,33,5,0.00849500433963402,-0
3,33,6,0.0385679971406507,-0
3,33,7,0.0149923506489483,-0
3,33,8,0.0158589877648396,-0
3,33,9,0.00878275325650602,-0
3,33,10,0.00843145420436953,-0
3,33,11,0.00853246702742805,-0
3,33,12,0.0125103280611729,-0
3,33,13,0.0138495897151347,-0
3,33,14,0.0100672704854818,-0
3,33,15,0.0222291445042093,-0
3,33,16,0.00902162391673411,-0
3,33,17,0.00478795013559852,-0
3,33,18,0.00819043672496422,-0
3,33,19,0.00914626555754694,-0
3,33,20,0.00764334984345383,-0
3,33,21,0.0233454858248542,-0
3,33,22,0.0225737510889271,-0
3,33,23,0.0306706945208401,-0
3,33,24,0.0361698017582623,-0
3,33,25,0.0143212862429187,-0
3,33,26,0.0284589504012359,-0
3,33,27,0.0191177055976718,-0
3,33,28,0.0105777566173876,-0
3,33,29,0.035470732981,-0
3,33,30,0.00391125166128814,-0
3,33,31,0.00169339839844984,-0
3,33,32,0.000320469340099661,-0
3,33,33,0.588976453281764,0.735628496611681
3,33,34,5.52535062511295e-05,-0
3,20,1,0.043741654413367,-0
3,20,2,0.243892025903223,NaN
3,20,3,0.0347145110245066,-0
3,20,4,0.425631317495939,0.577604943476365
3,20,5,0.198954857526489,0.723759877569898
3,20,6,0.233490293899362,0.447373245775256
3,20,7,0.421658062022607,0.748328856689628
3,20,8,0.0370424153458728,-0
3,20,9,0.24838655925112,0.391473964047444
3,20,10,0.124197864520608,0.698680603173254
3,20,11,0.0534987213417066,0.066120765490246
3,20,12,0.192841774122529,0.312822424503114
3,20,13,0.148967004173172,0.209671163091927
3,20,14,0.272677476185421,0.395913385381167
3,20,15,0.139076200412054,0.301215029711837
3,20,16,0.0247025183798247,-0
3,20,17,0.00901844394646445,-0
3,20,18,0.498437557029181,0.667235489132607
3,20,19,0.257510012879396,0.345419001358817
3,20,20,0.311293702068541,0.406586989490552
3,20,21,0.0190350224982058,-0
3,20,22,0.16227230650023,0.223964886561432
3,20,23,0.0681470854550092,-0
3,20,24,0.0803698198845608,-0
3,20,25,0.103843907088691,-0
3,20,26,0.0477565833931233,-0
3,20,27,0.0407746501808809,-0
3,20,28,0.0228530159933926,-0
3,20,29,0.0687768314014395,-0
3,20,30,0.00198220574124519,-0
3,20,31,0.002496667313169,-0
3,20,32,0.000372756487034609,-0
3,20,33,0.0159560694384334,-0
3,20,34,0.000178459614099569,-0
3,0,1,0.205041524030986,-0
3,0,2,0.285639804042006,NaN
3,0,3,0.339099837125929,-0
3,0,4,0.454635418693393,0.577604943476365
3,0,5,0.216779749801201,0.723759877569898
3,0,6,0.303202369227771,0.447373245775256
3,0,7,0.460689352444926,0.748328856689628
